time,foot_right_z_m,foot_left_z_m
0.0,0.0077534490818596475,0.008630080453483367
0.01,0.007323467985556046,0.010966799124926119
0.02,0.014136525990564443,0.005976570674816676
0.03,0.013643542426770103,0.004043081042974668
0.04,0.016552637155717333,0.0007783686021384782
0.05,0.019842337076797476,0.002234576235458255
0.06,0.01811685229294836,0.0008870571488350785
0.07,0.02036231103230858,-0.0011941318874190373
0.08,0.01981232143226674,0.00013703897925322118
0.09,0.01978054317290367,-0.002043154147250197
0.1,0.024747615867230136,-0.0032951668459066004
0.11,0.022834764289849933,-0.005237942245269453
0.12,0.026959032637583542,-0.006542825308226139
0.13,0.026451531076468367,-0.006275245393582948
0.14,0.028320628135784915,-0.009227327964462347
0.15,0.03097940074980345,-0.00803897731859187
0.16,0.02752095066173328,-0.009607807665180292
0.17,0.02744689265380175,-0.00851834205963352
0.18,0.029564801864615537,-0.011002010423933055
0.19,0.031411533640185216,-0.011936021894888089
0.2,0.030524048619199287,-0.00863901290291523
0.21,0.03283701021209313,-0.009859189066496897
0.22,0.034009381808117675,-0.011010664778006586
0.23,0.03345960619938991,-0.007898973219730852
0.24,0.027737135774292605,-0.00977190246541682
0.25,0.031901972199895164,-0.0062690284095508406
0.26,0.02580880689795898,-0.00930457956839619
0.27,0.03185704955549397,-0.008690238280010223
0.28,0.026235900662067674,-0.009570397152431064
0.29,0.02738175453292536,-0.007019203584869561
0.3,0.02829474933923085,-0.002161731048862611
0.31,0.02512926785351272,-0.0021887424852624696
0.32,0.02388490757348073,-0.0028772279637682575
0.33,0.021097312855894647,-0.0012394500274983365
0.34,0.018019108253289416,0.0017798651519664974
0.35000000000000003,0.018702523704819334,-0.001228347371435381
0.36,0.01960988362243005,0.001037014093429614
0.37,0.020305426790220828,0.004911045223198279
0.38,0.015952651564908927,0.003656170681950158
0.39,0.015338033084957957,0.008201727699200271
0.4,0.010194084605900412,0.007526373518401627
0.41000000000000003,0.010447202867299516,0.007580984889409869
0.42,0.010680251779251746,0.011475971195398714
0.43,0.0068288420163582116,0.012306055688773125
0.44,0.003998265746900963,0.012463786678368928
0.45,0.002169674464022003,0.012887992224749014
0.46,0.002980522319148805,0.014619317345561076
0.47000000000000003,0.005405921220570854,0.020777513462599335
0.48,0.002978865883721865,0.022773705107812063
0.49,-0.0022009026758122953,0.02325066841610749
0.5,-0.004305188425147332,0.022646015656550642
0.51,-0.0016695049840497916,0.023393515256330703
0.52,-0.0054783785999443745,0.023909412750002974
0.53,-0.004769929430391536,0.027050183622016617
0.54,-0.004762545091733489,0.024778837776801736
0.55,-0.011024001099182772,0.026124956746804415
0.56,-0.007860852398350215,0.028313525138256745
0.5700000000000001,-0.009263540967170067,0.027737379560978586
0.58,-0.008350023929959823,0.03169055432953257
0.59,-0.008625525208483593,0.028071066418336024
0.6,-0.011236035033144614,0.028950473395111073
0.61,-0.005660019364726763,0.02853807704534192
0.62,-0.011136265163609462,0.03161489788150066
0.63,-0.010839292360445906,0.02801416021670015
0.64,-0.006230795498203281,0.03308250377225728
0.65,-0.00984254602080754,0.030002588047315964
0.66,-0.008076727311129999,0.027651076870380865
0.67,-0.009448680873038238,0.026510867771948905
0.68,-0.008409863165346976,0.02706897290160693
0.6900000000000001,-0.010560261529565228,0.029259089276767253
0.7000000000000001,-0.008152507399725992,0.02726764214263731
0.71,-0.006387996490243564,0.0259891953518865
0.72,-0.007078594058558095,0.02424249138587005
0.73,-0.0052007448078290105,0.029719367409561374
0.74,-0.00048653862172132276,0.022426915257545015
0.75,-0.0027612857116009948,0.023112725116528458
0.76,0.0011080767024616563,0.020736999321958376
0.77,0.0021997004424073622,0.016706179224952652
0.78,0.004269902158448491,0.01917138325438131
0.79,0.0035628759221884355,0.015549788012418566
0.8,0.007217080279518,0.01905513119389912
0.81,0.0029427619343377564,0.012136495340052712
0.8200000000000001,0.009372186869710886,0.011127791105682955
0.8300000000000001,0.007672178898667134,0.010821748555133733
0.84,0.007854168583832814,0.008612758157960053
0.85,0.014482620614303452,0.007198457353202133
0.86,0.011931963675804841,0.004483881276904118
0.87,0.014113588540397926,0.003656561777923576
0.88,0.018087790545158407,0.004498462160902595
0.89,0.015230538249280511,0.0014061155267657342
0.9,0.022203703895634384,-0.00028610721923985204
0.91,0.02237646307121517,0.000775718118515103
0.92,0.024238418994251946,-0.002733544403253806
0.93,0.023540629198997434,-0.0022744272217552416
0.9400000000000001,0.021566536532135173,-0.005063760293074868
0.9500000000000001,0.025119204703136333,-0.0069773557112367
0.96,0.027231993935957467,-0.012575998044221954
0.97,0.02682246142440109,-0.0067853062392805655
0.98,0.028864659742541408,-0.00820362665416031
0.99,0.03038198872479427,-0.01108241300457073
1.0,0.026246315580656876,-0.005843763223771408
1.01,0.028038468837536256,-0.00949577078700462
1.02,0.03407199400867907,-0.010535079819362084
